name               Физически свойства Под
desc               Подобрена и разширена версия на оригиналния инструмент за физически свойства
left               Приложи избраното физическо свойство
right              Запази избраното физическо свойство
right_use          Запази приложеното физическо свойство
reload             Презареди оригиналното физическо свойство
left_use           Презареди запазеното физическо свойство
material_type      Изберете тип на материала от изброените в списъка
material_type_def  Избери тип...
material_name      Изберете име на материала от изброените в списъка
material_name_def  Избери име...
gravity_toggle_con Включи гравитацията
gravity_toggle     Когато е избрано разрешава гравитацията на обекта 
material_draw_con  Включи чертането на материал
material_draw      Показва състоянието на избрания материал на обекта
